"type1","type2","wind_34_down","wind_34_50","wind_50_64","wind_64_up","node1","node2","node3","node4","node5","node6","node7","node8","node9","SVI","population","homeownership_rate","hwm","wind_50_up"
0,0,6,2,1,0,95.5523922838144,74.8861700345478,21.9761683064455,90.9433042418346,151.511587628496,208.907193776666,263.620041987837,318.834321437255,375.362026983516,0.9373,39616,71.87049,0,1
0,0,6,3,0,0,78.7769483655976,62.37903423395,53.5418562978437,123.737219759,186.119221371799,247.344814228305,304.71022896953,362.500786434718,421.476731265903,0.7801,48582,55.29379,0,0
37,14,1,8,0,0,119.926295016791,116.686455053174,95.4201957739829,80.8386088164281,70.8290063378454,70.5880836642183,65.012549047441,62.5471329364857,70.1900758657895,0.9487,45881,69.83172,3.58,0
15,7,1,8,0,0,107.499746259765,103.247131163659,80.0229194923414,63.2176714051181,50.201222100038,49.6003083583568,44.7347810079313,45.6654299035363,60.8539304221493,0.9268,66759,70.12158,5.33,0
106,54,0,4,5,0,79.2605567100985,75.5573857475906,54.0692898635024,41.2652023730716,41.7587374639184,47.9667179446001,52.0088247485119,62.7643049568634,85.332285652524,0.9682,30612,64.85093,7.725,5
7,0,2,6,1,0,95.3085536141175,89.9130383772705,64.9512780429073,45.645214552961,28.0245174489148,27.4618706848891,25.9770571614908,35.6042440570373,60.4485703598876,0.8987,138277,65.92379,5.25,1
15,5,1,6,2,0,89.3171488984064,82.0156012633125,57.7123767283102,38.6464617762169,16.056275669571,13.0312406985783,25.4670857321295,44.6136424059525,74.2324129518269,0.6771,62232,75.49261,6.86,2
367,570,0,6,3,0,61.9069863359105,55.6946135291177,30.1225204941159,9.89327738382081,20.1710203780124,31.7244469668204,44.5626394024533,63.1755712120904,92.184290206109,0.6102,344105,68.87653,5.2,3
105,114,0,6,3,0,78.0824537390018,72.8260512212171,48.1915086078949,30.0574519945033,23.0637124606681,29.6692960334264,36.1995122516546,50.8144556383772,77.3675486624582,0.9293,31056,69.78358,6.79,3
55,46,0,9,0,0,96.2705294389356,93.2959958261653,73.0903877053275,60.7247173835717,57.4069440614617,60.8933652222382,60.5431774055214,65.5947039426756,82.1299604656385,0.9869,26392,64.56947,2.91,0
