County,Total_housing_units,Occupied_housing_units,Owner-occupied,Renter-occupied,Rental_vacancy_rate,Rental_vacancy
"Mercer County, New Jersey",145132,132980,83219,49761,2.5,1244.025
"Middlesex County, New Jersey",302255,285480,179541,105939,3.4,3601.926
"Monmouth County, New Jersey",262157,236327,175902,60425,3.6,2175.3
"Morris County, New Jersey",194256,181738,133030,48708,4.1,1997.028
"Ocean County, New Jersey",284918,228622,182981,45641,5.3,2418.973
"Passaic County, New Jersey",177277,169521,88450,81071,2.5,2026.775
"Salem County, New Jersey",27608,23952,16506,7446,7.1,528.666
"Somerset County, New Jersey",127016,118729,91176,27553,3,826.59
"Sussex County, New Jersey",62472,53749,45399,8350,11.9,993.65
"Union County, New Jersey",202668,192021,110647,81374,3.3,2685.342
"Warren County, New Jersey",45558,41742,30249,11493,1.6,183.888
"Bernalillo County, New Mexico",295208,270655,165938,104717,9,9424.53
"Chaves County, New Mexico",27428,22616,14320,8296,12.4,1028.704
"Do??a Ana County, New Mexico",89060,80409,48644,31765,6,1905.9
"Lea County, New Mexico",26765,23215,14969,8246,7.1,585.466
"McKinley County, New Mexico",26344,21449,15496,5953,2.6,154.778
"Otero County, New Mexico",31843,23747,15781,7966,3.7,294.742
"Sandoval County, New Mexico",57318,53996,37892,16104,9.9,1594.296
"San Juan County, New Mexico",51273,43707,31302,12405,8.6,1066.83
"Santa Fe County, New Mexico",73463,62707,44632,18075,5.9,1066.425
"Valencia County, New Mexico",31409,28379,22748,5631,12.3,692.613
"Albany County, New York",142306,126578,71321,55257,5.6,3094.392
"Bronx County, New York",532509,507370,93671,413699,2.1,8687.679
"Broome County, New York",91258,75539,48458,27081,9.1,2464.371
"Cattaraugus County, New York",41648,32079,22926,9153,3.1,283.743
"Cayuga County, New York",37162,30083,21114,8969,7.9,708.551
"Chautauqua County, New York",67661,53429,37160,16269,2.3,374.187
"Chemung County, New York",38924,34325,22827,11498,5.6,643.888
"Clinton County, New York",36732,31392,21472,9920,4.2,416.64
"Dutchess County, New York",121187,108071,73717,34354,5.9,2026.886
"Erie County, New York",429704,390341,251132,139209,4.8,6682.032
"Jefferson County, New York",60041,44657,24413,20244,7.3,1477.812
"Kings County, New York",1053667,969317,296235,673082,3.7,24904.034
"Livingston County, New York",27616,23746,17583,6163,7.8,480.714
"Madison County, New York",32391,26127,20311,5816,4.3,250.088
"Monroe County, New York",329236,301668,195347,106321,8.1,8612.001
"Nassau County, New York",473454,447123,356619,90504,4.5,4072.68
"New York County, New York",886282,752258,180208,572050,4.2,24026.1
"Niagara County, New York",100617,89765,62228,27537,11.2,3084.144
"Oneida County, New York",105447,88871,58942,29929,6.5,1945.385
"Onondaga County, New York",209344,185046,120620,64426,12.9,8310.954
"Ontario County, New York",51224,44079,32069,12010,6.2,744.62
"Orange County, New York",144234,128259,86175,42084,3.5,1472.94
"Oswego County, New York",54624,46270,34397,11873,3.5,415.555
"Putnam County, New York",38679,35425,30027,5398,4.2,226.716
"Queens County, New York",865809,788110,356970,431140,2.4,10347.36
"Rensselaer County, New York",73266,64614,40857,23757,3.4,807.738
"Richmond County, New York",181186,167441,115872,51569,7.8,4022.382
"Rockland County, New York",106723,99502,68477,31025,2.3,713.575
"St. Lawrence County, New York",53374,41680,29841,11839,3.2,378.848
"Saratoga County, New York",107379,94156,67254,26902,6.2,1667.924
"Schenectady County, New York",69948,55262,34674,20588,4.8,988.224
"Steuben County, New York",49684,40578,29724,10854,5.2,564.408
"Suffolk County, New York",576845,496784,394961,101823,3.8,3869.274
"Sullivan County, New York",50941,28900,18877,10023,4.9,491.127
"Tompkins County, New York",43883,40250,22476,17774,2.7,479.898
"Ulster County, New York",85431,69154,46491,22663,5.6,1269.128
"Warren County, New York",40207,28007,18836,9171,3.3,302.643
"Wayne County, New York",41788,35927,28995,6932,3.5,242.62
"Westchester County, New York",375864,352498,213450,139048,3.4,4727.632
"Alamance County, North Carolina",71655,64700,43122,21578,5.8,1251.524
"Brunswick County, North Carolina",92284,56752,47728,9024,21.9,1976.256
"Buncombe County, North Carolina",126577,108411,70294,38117,6.9,2630.073
"Burke County, North Carolina",41316,36157,27426,8731,6.8,593.708
"Cabarrus County, North Carolina",80867,73751,53543,20208,14,2829.12
"Caldwell County, North Carolina",38062,31544,22775,8769,4.8,420.912
"Carteret County, North Carolina",50719,28720,21438,7282,3,218.46
"Catawba County, North Carolina",69249,62861,44041,18820,7,1317.4
"Chatham County, North Carolina",33007,28343,22158,6185,9.9,612.315
"Cleveland County, North Carolina",43673,34574,23305,11269,7.5,845.175
"Craven County, North Carolina",47453,40412,24095,16317,5.4,881.118
"Cumberland County, North Carolina",147123,127911,65989,61922,6.9,4272.618
"Davidson County, North Carolina",75593,68761,45131,23630,4.6,1086.98
"Durham County, North Carolina",138960,127527,70529,56998,7.3,4160.854
"Forsyth County, North Carolina",166941,150437,87807,62630,9.1,5699.33
"Franklin County, North Carolina",29018,26380,20203,6177,0.7,43.239
"Gaston County, North Carolina",93885,84999,57467,27532,7.3,2009.836
"Guilford County, North Carolina",230468,209842,120188,89654,4.7,4213.738
"Harnett County, North Carolina",52561,46015,29959,16056,9.6,1541.376
"Henderson County, North Carolina",58099,49514,36636,12878,4.5,579.51
"Iredell County, North Carolina",75611,68328,49104,19224,6.5,1249.56
"Johnston County, North Carolina",77354,70001,49139,20862,5.3,1105.686
"Lincoln County, North Carolina",36768,34233,26533,7700,2,154
"Mecklenburg County, North Carolina",454104,418135,233619,184516,7.9,14576.764
"Moore County, North Carolina",47931,40756,31230,9526,6.8,647.768
"Nash County, North Carolina",43152,37767,25627,12140,1.7,206.38
"New Hanover County, North Carolina",113231,98151,54852,43299,5.5,2381.445
"Onslow County, North Carolina",80259,66834,35817,31017,6.2,1923.054
"Orange County, North Carolina",59198,53959,34210,19749,1.8,355.482
"Pitt County, North Carolina",80244,69288,36992,32296,9,2906.64
"Randolph County, North Carolina",62628,54783,40905,13878,4.1,568.998
"Robeson County, North Carolina",53186,46026,29690,16336,5.6,914.816
"Rockingham County, North Carolina",44290,37476,26495,10981,2.8,307.468
"Rowan County, North Carolina",61973,53806,38223,15583,2.1,327.243
"Rutherford County, North Carolina",34473,26305,17869,8436,3.6,303.696
"Surry County, North Carolina",34263,29230,21172,8058,13.6,1095.888
"Union County, North Carolina",82559,77696,62872,14824,5.3,785.672
"Wake County, North Carolina",441828,408473,259158,149315,6.2,9257.53
"Wayne County, North Carolina",54467,49019,30179,18840,5.1,960.84
"Wilkes County, North Carolina",33642,30123,22238,7885,4.2,331.17
"Wilson County, North Carolina",36316,31817,19140,12677,8,1014.16
"Burleigh County, North Dakota",43159,40736,28209,12527,6.3,789.201
"Cass County, North Dakota",83903,74343,40652,33691,13.8,4649.358
"Grand Forks County, North Dakota",33393,30916,14966,15950,6.5,1036.75
"Ward County, North Dakota",33203,27887,15490,12397,12.3,1524.831
"Allen County, Ohio",45192,41204,26803,14401,5,720.05
"Ashtabula County, Ohio",46198,35445,26399,9046,14.2,1284.532
"Athens County, Ohio",26681,22533,12765,9768,5,488.4
"Belmont County, Ohio",32159,24742,19288,5454,29.1,1587.114
"Butler County, Ohio",152725,143040,93139,49901,2.7,1347.327
"Clark County, Ohio",61307,55327,36058,19269,4.1,790.029
"Clermont County, Ohio",83786,77920,58949,18971,4.2,796.782
"Columbiana County, Ohio",46848,41884,30462,11422,4.3,491.146
"Cuyahoga County, Ohio",617923,542122,312122,230000,6.7,15410
"Delaware County, Ohio",74534,70501,56505,13996,4,559.84
"Erie County, Ohio",37907,31675,22437,9238,7.6,702.088
"Fairfield County, Ohio",61550,55934,43081,12853,6.5,835.445
"Franklin County, Ohio",559933,519468,278804,240664,4.4,10589.216
"Geauga County, Ohio",37335,35387,31262,4125,0,0
"Greene County, Ohio",70856,66053,42452,23601,3.8,896.838
"Hamilton County, Ohio",380048,344562,198273,146289,5.7,8338.473
"Hancock County, Ohio",34372,31606,22097,9509,3.3,313.797
"Jefferson County, Ohio",32470,27292,19040,8252,5.6,462.112
"Lake County, Ohio",103306,96577,70867,25710,3.6,925.56
"Licking County, Ohio",71052,62237,46094,16143,6.6,1065.438
"Lorain County, Ohio",131931,121344,87136,34208,7,2394.56
"Lucas County, Ohio",203491,178289,106765,71524,8,5721.92
"Mahoning County, Ohio",111318,97365,65025,32340,7.5,2425.5
"Marion County, Ohio",27907,24205,15620,8585,1,85.85
"Medina County, Ohio",73043,70609,56412,14197,1,141.97
"Miami County, Ohio",44352,41148,28912,12236,3.9,477.204
"Montgomery County, Ohio",254821,224225,133784,90441,6.4,5788.224
"Muskingum County, Ohio",37948,34471,24617,9854,4.1,404.014
"Portage County, Ohio",69335,60801,44384,16417,3.7,607.429
"Richland County, Ohio",54173,48105,32060,16045,2.8,449.26
"Ross County, Ohio",32070,29779,19714,10065,1.4,140.91
"Scioto County, Ohio",34514,28719,19037,9682,8.8,852.016
"Stark County, Ohio",166991,152210,103301,48909,3.8,1858.542
"Summit County, Ohio",246191,226243,150652,75591,5.9,4459.869
"Trumbull County, Ohio",95669,83303,60473,22830,5.6,1278.48
"Tuscarawas County, Ohio",40234,36740,25172,11568,4.3,497.424
"Warren County, Ohio",88444,83540,62839,20701,4.1,848.741
"Wayne County, Ohio",46732,43908,32061,11847,4.6,544.962
"Wood County, Ohio",54092,50694,32999,17695,3.3,583.935
"Canadian County, Oklahoma",48974,45344,34486,10858,5.6,608.048
"Cleveland County, Oklahoma",116901,110775,68405,42370,5.4,2287.98
"Comanche County, Oklahoma",51688,42489,23722,18767,11.9,2233.273
"Creek County, Oklahoma",30778,26957,21130,5827,9.7,565.219
"Muskogee County, Oklahoma",30967,26566,17678,8888,10.1,897.688
"Oklahoma County, Oklahoma",341548,302645,175384,127261,9.2,11708.012
"Payne County, Oklahoma",36824,30734,16781,13953,8.4,1172.052
"Pottawatomie County, Oklahoma",29998,26714,18247,8467,5.7,482.619
"Rogers County, Oklahoma",38545,35254,27320,7934,6.6,523.644
"Tulsa County, Oklahoma",284556,250492,147066,103426,9.2,9515.192
"Wagoner County, Oklahoma",32881,30186,23746,6440,2.7,173.88
"Benton County, Oregon",38442,35520,20900,14620,5.6,818.72
"Clackamas County, Oregon",169238,158749,112803,45946,5.6,2572.976
"Deschutes County, Oregon",91040,79950,52777,27173,0.9,244.557
"Douglas County, Oregon",50564,45647,32013,13634,2.4,327.216
"Jackson County, Oregon",96251,89787,59308,30479,3.3,1005.807
"Josephine County, Oregon",39354,37059,26330,10729,7.9,847.591
"Klamath County, Oregon",33682,26798,17066,9732,4.2,408.744
"Lane County, Oregon",163490,156072,92483,63589,2.1,1335.369
"Linn County, Oregon",50891,48464,30861,17603,5.2,915.356
"Marion County, Oregon",127325,119511,69414,50097,5.7,2855.529
"Multnomah County, Oregon",353878,330223,177394,152829,6.4,9781.056
"Polk County, Oregon",32511,31218,20564,10654,0.8,85.232
"Umatilla County, Oregon",30681,26048,15336,10712,4,428.48
"Washington County, Oregon",232449,225955,140697,85258,2.8,2387.224
"Yamhill County, Oregon",39394,37235,25546,11689,0.7,81.823
"Adams County, Pennsylvania",42572,39570,29657,9913,4.8,475.824
"Allegheny County, Pennsylvania",602410,543369,353920,189449,5.2,9851.348
"Armstrong County, Pennsylvania",32785,27332,21135,6197,1.2,74.364
"Beaver County, Pennsylvania",79662,73059,52038,21021,6.3,1324.323
"Berks County, Pennsylvania",167383,157006,112019,44987,8.5,3823.895
"Blair County, Pennsylvania",56957,51096,36817,14279,7.3,1042.367
"Bucks County, Pennsylvania",251507,239962,181629,58333,3.7,2158.321
"Butler County, Pennsylvania",84242,77764,57451,20313,1.1,223.443
"Cambria County, Pennsylvania",66035,56483,41921,14562,3.8,553.356
"Carbon County, Pennsylvania",34820,25177,18929,6248,7,437.36
"Centre County, Pennsylvania",67155,58514,36972,21542,5.4,1163.268
"Chester County, Pennsylvania",201344,192746,143815,48931,3.9,1908.309
"Clearfield County, Pennsylvania",39267,31992,24519,7473,0.7,52.311
"Columbia County, Pennsylvania",30320,26655,18971,7684,8,614.72
"Crawford County, Pennsylvania",44946,34386,25843,8543,3.6,307.548
"Cumberland County, Pennsylvania",106887,102243,69828,32415,1.3,421.395
"Dauphin County, Pennsylvania",124803,112559,69965,42594,3.8,1618.572
"Delaware County, Pennsylvania",224876,207499,137184,70315,5.9,4148.585
"Erie County, Pennsylvania",121615,109797,71969,37828,8.5,3215.38
"Fayette County, Pennsylvania",63950,56085,42168,13917,4.9,681.933
"Franklin County, Pennsylvania",65799,59834,43002,16832,3,504.96
"Indiana County, Pennsylvania",39008,33098,23316,9782,14.8,1447.736
"Lackawanna County, Pennsylvania",100707,88268,56371,31897,4.4,1403.468
"Lancaster County, Pennsylvania",212243,202490,136452,66038,2.7,1783.026
"Lawrence County, Pennsylvania",41321,37497,26775,10722,5.5,589.71
"Lebanon County, Pennsylvania",58010,54522,38515,16007,4.9,784.343
"Lehigh County, Pennsylvania",146732,138586,89789,48797,4.1,2000.677
"Luzerne County, Pennsylvania",150280,128301,88539,39762,8.4,3340.008
"Lycoming County, Pennsylvania",53530,44585,30863,13722,10,1372.2
"Mercer County, Pennsylvania",52310,46809,33191,13618,1.4,190.652
"Monroe County, Pennsylvania",81664,55109,42715,12394,2.2,272.668
"Montgomery County, Pennsylvania",336194,313336,221925,91411,8.6,7861.346
"Northampton County, Pennsylvania",123428,114996,82860,32136,5.8,1863.888
"Northumberland County, Pennsylvania",45471,38816,27188,11628,8.2,953.496
"Philadelphia County, Pennsylvania",688846,608233,320690,287543,4.9,14089.607
"Schuylkill County, Pennsylvania",69918,58458,44243,14215,4,568.6
"Somerset County, Pennsylvania",38500,28796,22804,5992,5.9,353.528
"Washington County, Pennsylvania",96225,85835,63696,22139,3.5,774.865
"Westmoreland County, Pennsylvania",170772,150368,115174,35194,7.3,2569.162
"York County, Pennsylvania",184880,173958,130722,43236,4.1,1772.676
"Kent County, Rhode Island",74510,69115,48717,20398,3.5,713.93
"Newport County, Rhode Island",42682,34316,22233,12083,15.7,1897.031
"Providence County, Rhode Island",266575,237038,129448,107590,4.9,5271.91
"Washington County, Rhode Island",64332,47680,37564,10116,15.2,1537.632
"Aiken County, South Carolina",77687,68609,50294,18315,2.8,512.82
"Anderson County, South Carolina",88997,78500,57172,21328,13.8,2943.264
"Beaufort County, South Carolina",101255,74679,55824,18855,14.1,2658.555
"Berkeley County, South Carolina",85972,78168,58108,20060,9.6,1925.76
"Charleston County, South Carolina",191893,160457,99491,60966,8.4,5121.144
"Darlington County, South Carolina",30875,25308,17715,7593,17.9,1359.147
"Dorchester County, South Carolina",61654,55799,39869,15930,5.5,876.15
"Florence County, South Carolina",61109,50518,32983,17535,7.6,1332.66
"Greenville County, South Carolina",214115,192556,130296,62260,8.6,5354.36
"Greenwood County, South Carolina",31550,27962,17566,10396,7.9,821.284
"Horry County, South Carolina",210700,131180,96421,34759,31,10775.29
"Kershaw County, South Carolina",29375,24756,20478,4278,8.9,380.742
"Lancaster County, South Carolina",38541,35710,27345,8365,2.6,217.49
"Laurens County, South Carolina",31494,25423,17177,8246,9.9,816.354
"Lexington County, South Carolina",126223,115566,85558,30008,6.8,2040.544
"Oconee County, South Carolina",40812,31612,23193,8419,9.4,791.386
"Orangeburg County, South Carolina",42794,33561,22266,11295,2.4,271.08
"Pickens County, South Carolina",55067,48185,32195,15990,5.6,895.44
"Richland County, South Carolina",175056,152227,88369,63858,6.6,4214.628
"Spartanburg County, South Carolina",131448,116018,82335,33683,9.1,3065.153
"Sumter County, South Carolina",48282,40396,25190,15206,7.8,1186.068
"York County, South Carolina",110226,100623,72881,27742,9.6,2663.232
"Minnehaha County, South Dakota",84009,76630,48821,27809,7.8,2169.102
"Pennington County, South Dakota",49249,44794,30635,14159,8.3,1175.197
"Anderson County, Tennessee",35020,29505,20025,9480,6.8,644.64
"Blount County, Tennessee",58673,51446,37567,13879,1.7,235.943
"Bradley County, Tennessee",44157,39104,26327,12777,6.1,779.397
"Davidson County, Tennessee",319508,283445,152009,131436,9.5,12486.42
"Greene County, Tennessee",32690,27316,20971,6345,6.7,425.115
"Hamilton County, Tennessee",160807,146057,93841,52216,5.4,2819.664
"Knox County, Tennessee",206056,185416,119103,66313,7,4641.91
"Madison County, Tennessee",43382,39223,23782,15441,12.2,1883.802
"Maury County, Tennessee",38352,34361,23810,10551,10.4,1097.304
"Montgomery County, Tennessee",82596,72973,42915,30058,7.8,2344.524
"Putnam County, Tennessee",34977,33388,19654,13734,3,412.02
"Robertson County, Tennessee",27765,26375,19439,6936,3,208.08
"Rutherford County, Tennessee",121829,115376,73993,41383,3.1,1282.873
"Sevier County, Tennessee",58279,36861,25392,11469,29.6,3394.824
"Shelby County, Tennessee",406236,352648,194127,158521,7.7,12206.117
"Sullivan County, Tennessee",75724,64504,46264,18240,4.2,766.08
"Sumner County, Tennessee",73709,68439,50610,17829,12.4,2210.796
"Washington County, Tennessee",60856,54433,34112,20321,3.1,629.951
"Williamson County, Tennessee",85031,80601,65455,15146,5.4,817.884
"Wilson County, Tennessee",55159,52489,40389,12100,7.7,931.7
"Angelina County, Texas",36995,29898,19437,10461,14.6,1527.306
"Bastrop County, Texas",30175,25334,20694,4640,0,0
"Bell County, Texas",142436,123188,66884,56304,7,3941.28
"Bexar County, Texas",700241,644193,373665,270528,7.3,19748.544
"Bowie County, Texas",40038,35228,21502,13726,0.5,68.63
"Brazoria County, Texas",139484,120802,84553,36249,11.9,4313.631
"Brazos County, Texas",92697,81030,36712,44318,12.3,5451.114
"Cameron County, Texas",152374,124812,82913,41899,8.7,3645.213
"Collin County, Texas",377384,344824,223994,120830,11.5,13895.45
"Comal County, Texas",60949,53182,40439,12743,3.6,458.748
"Coryell County, Texas",26850,21491,12694,8797,9.5,835.715
"Dallas County, Texas",1027930,937438,458831,478607,8.1,38767.167
"Denton County, Texas",319979,297899,195182,102717,6.8,6984.756
"Ector County, Texas",58685,54326,35149,19177,2.8,536.956
"Ellis County, Texas",63506,58633,44101,14532,5.4,784.728
"El Paso County, Texas",299672,270160,164898,105262,9.5,9999.89
"Fort Bend County, Texas",260764,245410,189041,56369,8.1,4565.889
"Galveston County, Texas",148293,121976,82909,39067,11.6,4531.772
"Grayson County, Texas",56735,48963,32796,16167,9.4,1519.698
"Gregg County, Texas",52093,45513,27159,18354,8.2,1505.028
"Guadalupe County, Texas",60138,54789,43285,11504,5.9,678.736
"Harris County, Texas",1788357,1600357,865773,734584,9.5,69785.48
"Harrison County, Texas",28731,22928,16001,6927,14.7,1018.269
"Hays County, Texas",81999,75164,46356,28808,6.6,1901.328
"Henderson County, Texas",41483,30843,23400,7443,5.1,379.593
"Hidalgo County, Texas",281655,237323,162821,74502,10.7,7971.714
"Hunt County, Texas",38087,34132,22859,11273,5.6,631.288
"Jefferson County, Texas",108771,90839,54371,36468,3,1094.04
"Johnson County, Texas",62798,59180,43630,15550,3.1,482.05
"Kaufman County, Texas",42483,39049,29206,9843,1.9,187.017
"Liberty County, Texas",31734,27468,21441,6027,5.1,307.377
"Lubbock County, Texas",129669,115686,64994,50692,10.2,5170.584
"McLennan County, Texas",102458,92158,52695,39463,5.5,2170.465
"Midland County, Texas",61872,57636,38141,19495,1.8,350.91
"Montgomery County, Texas",222600,202797,146765,56032,8.3,4650.656
"Nacogdoches County, Texas",28482,23442,14434,9008,10.4,936.832
"Nueces County, Texas",149961,129987,76457,53530,5.4,2890.62
"Orange County, Texas",37740,30047,22382,7665,9.9,758.835
"Parker County, Texas",50820,46238,36586,9652,1,96.52
"Potter County, Texas",50176,45550,23370,22180,7.4,1641.32
"Randall County, Texas",55241,49457,36590,12867,11.4,1466.838
"Rockwall County, Texas",35832,34590,28904,5686,N,#VALUE!
"San Patricio County, Texas",28478,22202,15542,6660,2.5,166.5
"Smith County, Texas",91101,77330,51872,25458,8.8,2240.304
"Tarrant County, Texas",779037,722473,429446,293027,7.6,22270.052
"Taylor County, Texas",57793,49811,28794,21017,5.5,1155.935
"Tom Green County, Texas",48619,43301,26960,16341,8.2,1339.962
"Travis County, Texas",527786,486548,251642,234906,6,14094.36
"Victoria County, Texas",37079,31918,21137,10781,9.3,1002.633
"Walker County, Texas",26408,22693,11691,11002,1.2,132.024
"Webb County, Texas",84466,75300,45836,29464,6.5,1915.16
"Wichita County, Texas",56007,46757,28546,18211,13.2,2403.852
"Williamson County, Texas",198636,185345,128370,56975,10,5697.5
"Wise County, Texas",24925,22864,17979,4885,5.5,268.675
"Cache County, Utah",42242,39224,24482,14742,6,884.52
"Davis County, Utah",110428,104462,81413,23049,5.8,1336.842
"Salt Lake County, Utah",403687,381831,254895,126936,6.7,8504.712
"Tooele County, Utah",22463,20411,16416,3995,13.7,547.315
"Utah County, Utah",180020,171117,118632,52485,3,1574.55
"Washington County, Utah",71349,59863,42680,17183,2,343.66
"Weber County, Utah",93205,85615,61877,23738,3,712.14
"Chittenden County, Vermont",70359,66095,41516,24579,2.2,540.738
"Albemarle County, Virginia",46081,41956,26251,15705,1.6,251.28
"Arlington County, Virginia",116543,109940,46951,62989,2.7,1700.703
"Augusta County, Virginia",32723,29783,23590,6193,5.3,328.229
"Bedford County, Virginia",37001,31271,25793,5478,6.1,334.158
"Chesterfield County, Virginia",132362,126748,97266,29482,5.7,1680.474
"Fairfax County, Virginia",415485,396628,273348,123280,4.4,5424.32
"Fauquier County, Virginia",27150,25134,19682,5452,0,0
"Frederick County, Virginia",34842,31551,24870,6681,7.6,507.756
"Hanover County, Virginia",41865,39929,33351,6578,2.9,190.762
"Henrico County, Virginia",138176,129408,80085,49323,3.8,1874.274
"James City County, Virginia",33765,29849,21924,7925,13.5,1069.875
"Loudoun County, Virginia",136509,133417,100398,33019,1.7,561.323
"Montgomery County, Virginia",40710,34585,19726,14859,5.5,817.245
"Prince William County, Virginia",150475,143861,105749,38112,7.4,2820.288
"Roanoke County, Virginia",41020,38061,27467,10594,8.2,868.708
"Rockingham County, Virginia",35844,31462,24256,7206,1.9,136.914
"Spotsylvania County, Virginia",48147,45223,35735,9488,10,948.8
"Stafford County, Virginia",50458,48418,36703,11715,3.6,421.74
"York County, Virginia",27908,24996,17655,7341,19.8,1453.518
"Alexandria city, Virginia",76527,71740,31776,39964,4.5,1798.38
"Chesapeake city, Virginia",91783,86122,62005,24117,1.3,313.521
"Hampton city, Virginia",60096,54800,29345,25455,6.9,1756.395
"Lynchburg city, Virginia",32521,28500,13686,14814,3.7,548.118
"Newport News city, Virginia",78028,71291,33802,37489,8.8,3299.032
"Norfolk city, Virginia",98218,89338,35801,53537,5.4,2890.998
"Portsmouth city, Virginia",40887,34578,18763,15815,6.9,1091.235
"Richmond city, Virginia",101081,91359,38430,52929,3.8,2011.302
"Roanoke city, Virginia",47009,41353,21030,20323,8.3,1686.809
"Suffolk city, Virginia",37333,34890,24433,10457,3.5,365.995
"Virginia Beach city, Virginia",186134,172183,111475,60708,3.8,2306.904
"Benton County, Washington",77373,71921,48659,23262,4.1,953.742
"Chelan County, Washington",38075,31587,19323,12264,2.9,355.656
"Clallam County, Washington",37331,33265,24040,9225,1.6,147.6
"Clark County, Washington",186159,178980,120212,58768,3.2,1880.576
"Cowlitz County, Washington",44959,43279,29404,13875,0,0
"Franklin County, Washington",28659,27067,17833,9234,0.8,73.872
"Grant County, Washington",37969,30806,18974,11832,6.9,816.408
"Grays Harbor County, Washington",36434,27674,18842,8832,2.5,220.8
"Island County, Washington",42274,34572,25281,9291,9,836.19
"King County, Washington",952597,897476,502214,395262,3.9,15415.218
"Kitsap County, Washington",113732,105411,73717,31694,4.9,1553.006
"Lewis County, Washington",35335,30327,21555,8772,7,614.04
"Mason County, Washington",33685,25864,18887,6977,5.7,397.689
"Pierce County, Washington",351009,328519,206238,122281,3.7,4524.397
"Skagit County, Washington",54451,48474,33488,14986,0.9,134.874
"Snohomish County, Washington",313822,300215,203558,96657,4.8,4639.536
"Spokane County, Washington",219873,206191,130665,75526,3.7,2794.462
"Thurston County, Washington",117860,110713,70934,39779,4.2,1670.718
"Whatcom County, Washington",97867,87080,53430,33650,2.1,706.65
"Yakima County, Washington",89129,83320,52938,30382,4.4,1336.808
"Berkeley County, West Virginia",49425,45800,32905,12895,2.1,270.795
"Cabell County, West Virginia",46324,38024,25444,12580,9.9,1245.42
"Harrison County, West Virginia",31765,26878,18670,8208,9.7,796.176
"Kanawha County, West Virginia",92334,78482,54648,23834,6.1,1453.874
"Monongalia County, West Virginia",45069,40603,22754,17849,4.4,785.356
"Raleigh County, West Virginia",36167,31169,22598,8571,6,514.26
"Wood County, West Virginia",40294,36064,26067,9997,7.4,739.778
"Brown County, Wisconsin",110382,104470,69498,34972,5.2,1818.544
"Dane County, Wisconsin",236932,226350,131095,95255,4.8,4572.24
"Dodge County, Wisconsin",37912,35221,24137,11084,1.9,210.596
"Eau Claire County, Wisconsin",44400,40421,25812,14609,6.8,993.412
"Fond du Lac County, Wisconsin",45361,41009,28500,12509,9.4,1175.846
"Jefferson County, Wisconsin",36004,33180,24326,8854,3.9,345.306
"Kenosha County, Wisconsin",70646,62950,41595,21355,8.9,1900.595
"La Crosse County, Wisconsin",50573,47924,29356,18568,2.8,519.904
"Manitowoc County, Wisconsin",37578,35259,26230,9029,1,90.29
"Marathon County, Wisconsin",59706,56245,40500,15745,1.1,173.195
"Milwaukee County, Wisconsin",419585,384281,188059,196222,6.5,12754.43
"Outagamie County, Wisconsin",77597,74603,53729,20874,2.1,438.354
"Ozaukee County, Wisconsin",37783,36261,28193,8068,0.5,40.34
"Portage County, Wisconsin",31129,29193,20122,9071,4.2,380.982
"Racine County, Wisconsin",82908,76808,50986,25822,3.9,1007.058
"Rock County, Wisconsin",69235,64632,42508,22124,5.5,1216.82
"St. Croix County, Wisconsin",36308,34422,27418,7004,N,0
"Sheboygan County, Wisconsin",51352,46308,33202,13106,5,655.3
"Walworth County, Wisconsin",52653,40864,27279,13585,2.5,339.625
"Washington County, Wisconsin",57201,55488,43738,11750,0,0
"Waukesha County, Wisconsin",166662,158368,123073,35295,4.9,1729.455
"Winnebago County, Wisconsin",76015,71332,47784,23548,5.5,1295.14
"Wood County, Wisconsin",35186,32274,22714,9560,5.1,487.56
"Laramie County, Wyoming",43892,39678,28492,11186,4.5,503.37
"Natrona County, Wyoming",37181,32240,22830,9410,17.3,1627.93
"Arecibo Municipio, Puerto Rico",41064,30206,20178,10028,7.3,732.044
"Bayam??n Municipio, Puerto Rico",82901,64932,43435,21497,7.8,1676.766
"Caguas Municipio, Puerto Rico",56612,47374,32441,14933,10.2,1523.166
"Carolina Municipio, Puerto Rico",76568,61313,43982,17331,4.8,831.888
"Guaynabo Municipio, Puerto Rico",40082,27857,19043,8814,7.2,634.608
"Mayag??ez Municipio, Puerto Rico",39901,30909,17340,13569,6.7,909.123
"Ponce Municipio, Puerto Rico",65299,53450,36334,17116,6.1,1044.076
"San Juan Municipio, Puerto Rico",190579,147267,79969,67298,7.9,5316.542
"Toa Alta Municipio, Puerto Rico",26421,21511,17374,4137,5.1,210.987
"Toa Baja Municipio, Puerto Rico",34796,26085,19850,6235,6.1,380.335
"Trujillo Alto Municipio, Puerto Rico",29294,23195,15644,7551,9.4,709.794
