County,Total_housing_units,Occupied_housing_units,Owner-occupied,Renter-occupied,Rental_vacancy_rate,Rental_vacancy
"Marin County, California",111753,103378,66223,37155,0.9,334.395
"Mendocino County, California",41550,34273,19905,14368,5.7,818.976
"Merced County, California",89328,84967,43293,41674,3.7,1541.938
"Monterey County, California",144365,133224,67750,65474,1.8,1178.532
"Napa County, California",55319,49979,34048,15931,3.6,573.516
"Nevada County, California",53932,42679,31748,10931,2.3,251.413
"Orange County, California",1139043,1077193,608989,468204,3.9,18259.956
"Placer County, California",174937,155945,115440,40505,3.9,1579.695
"Riverside County, California",858681,765673,522043,243630,3.9,9501.57
"Sacramento County, California",593234,571949,333692,238257,1.8,4288.626
"San Benito County, California",20960,20307,14123,6184,N,#VALUE!
"San Bernardino County, California",735905,675929,417986,257943,2.5,6448.575
"San Diego County, California",1237685,1162896,631760,531136,3.7,19652.032
"San Francisco County, California",412269,350796,140809,209987,7.5,15749.025
"San Joaquin County, California",255199,241760,148219,93541,2.5,2338.525
"San Luis Obispo County, California",124737,107571,68096,39475,3.7,1460.575
"San Mateo County, California",285583,264135,155833,108302,9.7,10505.294
"Santa Barbara County, California",159771,150550,78081,72469,2.4,1739.256
"Santa Clara County, California",693284,650593,363324,287269,5.6,16087.064
"Santa Cruz County, California",106541,97353,58798,38555,4,1542.2
"Shasta County, California",79713,71506,43537,27969,5.2,1454.388
"Solano County, California",163340,157617,97758,59859,2.3,1376.757
"Sonoma County, California",205898,190586,119657,70929,2.5,1773.225
"Stanislaus County, California",183911,174209,107260,66949,3.3,2209.317
"Sutter County, California",34643,33655,19232,14423,1.3,187.499
"Tehama County, California",27428,23950,15976,7974,0,0
"Tulare County, California",152729,143541,82233,61308,1.6,980.928
"Ventura County, California",294645,279168,181977,97191,4.2,4082.022
"Yolo County, California",81252,76844,41470,35374,1.5,530.61
"Yuba County, California",29973,27942,16321,11621,2,232.42
