"type1","type2","SVI","population","homeownership_rate","wind_34_50","wind_34_down","wind_50_64","wind_64_up","hwm","node1","node2","node3","node4","wind_exp","wind_dur"
4,2,0.3809,73127,75.85383,6,3,0,0,0,115.337521304605,117.252308389859,110.71663505737,110.679175308214,33.6666666666667,0
216,176,0.9481,55819,72.02356,3,0,3,3,5.84,42.6804139360489,38.8470236027078,20.3963053225259,23.1355256580728,57,6
434,503,0.8099,102338,63.02079,3,4,1,1,6.95,65.6588338442255,73.3995232708895,93.5676522967048,112.097241825592,35.8888888888889,2
140,75,0.864,333430,53.13829,6,1,2,0,8.9,72.0304381522215,73.225655419999,66.5122378487411,69.0741198076087,42.5555555555556,2
168,388,0.979,58991,68.8348,4,2,1,2,10,44.7656445724771,50.3173999649773,60.875119091418,75.7096874254683,44.7777777777778,3
10,5,0.6197,316979,55.98222,4,5,0,0,0,122.419153581502,125.921346003145,124.633936814239,128.472920229253,28.1111111111111,0
2,0,0.9924,21106,69.95161,4,3,2,0,1.96,77.497570007578,83.9994153529484,96.1798794618486,110.309074307632,37,2
6,2,0.6369,532607,60.89053,0,9,0,0,0,149.422223932588,150.980768582494,142.488209695505,139.790042652429,17,0
51,21,0.7869,134336,62.83905,8,1,0,0,2.2,87.893135426173,90.0667930024338,85.5006079302793,88.3715703636283,39.2222222222222,0
18,10,0.8924,54695,69.03151,9,0,0,0,0,86.4491113141149,86.1770203944974,73.9098903497899,70.5950912967784,42,0
18,5,0.8627,5026,61.41832,3,6,0,0,0,110.62097474962,118.410301075671,140.465607259386,159.608755943128,25.3333333333333,0
13,0,0.5395,202692,70.98368,7,2,0,0,8,83.9978361095455,88.283983646376,91.2666949323683,99.6028679133208,36.4444444444444,0
88,193,0.8761,9613,70.31968,3,3,2,1,6.55,54.0818360752967,61.629050134838,80.3239762004639,98.3695909332503,40.3333333333333,3
13,4,0.8481,61208,66.74834,8,1,0,0,0,102.260973644175,103.81004720782,96.5325160304101,96.4659276305655,39.2222222222222,0
40,25,0.9933,55990,58.75814,3,3,2,1,5.12,62.9442725758694,69.6508113343518,83.4035742750708,98.8389150428941,40.3333333333333,3
17,28,0.3621,98805,76.30551,8,1,0,0,4.82,106.560796979024,106.796640781303,95.2274964100473,91.2626105745928,39.2222222222222,0
266,241,0.3771,232256,59.93818,4,1,2,2,5.67,4.64971508143026,8.02020302963516,29.2186331221326,49.7823006649742,49.2222222222222,4
363,260,0.7465,196915,54.54368,4,2,1,2,8.04,36.8226175443714,44.5273690202329,65.1488150432571,84.3569556736462,44.7777777777778,3
6,3,0.2959,147980,64.4917,4,5,0,0,0,129.365284222021,132.313946233218,128.892442560334,130.883116758915,28.1111111111111,0
87,68,0.7162,12633,75.72783,2,5,2,0,5.92,77.2057234886269,85.0011898426557,107.111824144193,126.462586928838,31.4444444444444,2
301,501,0.5478,62017,80.59345,4,1,2,2,7.02,20.2117750504885,25.540465522577,40.0020131112096,58.2277991247577,49.2222222222222,4
11,1,0.8242,179575,54.27434,3,4,2,0,0,86.3533542294237,93.4466014625456,108.34479701894,123.780516537439,34.2222222222222,2
17,5,0.9796,44888,66.35657,8,1,0,0,8.7,107.884454713573,106.481920545068,90.0969610251044,81.421300712598,39.2222222222222,0
369,156,0.9911,131884,65.87819,4,0,5,0,5.45,69.8712747983679,67.9985582282606,51.9900505617968,46.992796703637,50.3333333333333,5
86,40,0.9723,63345,69.17912,4,1,2,2,11.32,55.3587087752192,58.4656175600888,59.6323775381552,68.981831974485,49.2222222222222,4
71,43,0.9936,34751,61.87896,9,0,0,0,5.09,91.7219947962336,90.1089944395522,73.6659598239304,65.877289690787,42,0
6,3,0.1873,235830,80.08553,1,8,0,0,0,143.209455473597,140.791554259205,121.146716745648,107.907841821162,19.7777777777778,0
55,30,0.9503,123237,61.61243,4,2,3,0,9,70.7015365524137,76.1658895622448,84.3087560787394,96.42209676796,41.4444444444444,3
3,4,0.936,81392,57.87284,6,3,0,0,0,90.67626010698,96.5038997712333,105.225329392988,116.917934884009,33.6666666666667,0
814,781,0.6727,25392,72.14661,5,1,1,2,4.5,8.99660852084717,7.23253883038136,38.1876705543736,59.0213738584339,47.5555555555556,3
25,38,0.5422,29722,74.10893,6,3,0,0,7.59,118.073550153287,110.243066228234,89.2441007055677,83.2914250761199,33.6666666666667,0
