"type1","type2","SVI","population","homeownership_rate","wind_34_50","wind_34_down","wind_50_64","wind_64_up","hwm","node1","node2","node3","node4","wind_exp","wind_dur"
106,58,0.9096,237056,61.91002,0,9,0,0,0,169.831422000763,88.1636619218507,51.4223059621624,129.488391689249,17,0
2473,3345,0.7623,216416,70.19434,1,7,0,1,3.5,25.9857628815187,58.4359619437008,156.323761185105,254.502582286639,25.8888888888889,1
168,459,0.2362,5619,87.04185,1,7,0,1,17.1,7.16106145699643,79.8256671217266,176.473879215596,274.301669170174,25.8888888888889,1
137,128,0.5563,22129,76.72805,2,6,1,0,0,114.771593944836,44.9642659053637,74.2137145045624,168.382204274878,27,1
31,16,0.7941,14989,68.2691,2,7,0,0,0,155.200284145482,76.3456907046024,34.5969889289191,126.166417712944,22.5555555555556,0
291,224,0.8084,32166,78.2544,1,7,0,1,1.1,37.8183746221833,61.4175276727253,152.306867604094,248.947518361503,25.8888888888889,1
27,3,0.5983,14812,0,2,7,0,0,0,127.274062595151,65.1053571526403,77.2940758901174,164.612121435606,22.5555555555556,0
39,28,0.8224,48259,51.40013,0,8,1,0,0,171.569609727726,90.284223340837,16.8447116220259,108.436325639273,21.4444444444444,1
60,40,0.9058,25430,68.47598,1,8,0,0,0,197.202879615448,123.777090816218,55.5046278496744,101.206889402333,19.7777777777778,0
101,61,0.838,37349,54.57981,1,7,1,0,0,116.11410256275,33.1572971425162,65.4898000305582,163.697443452414,24.2222222222222,1
221,100,0.8651,160003,59.90652,1,8,0,0,0,171.465457458955,96.5782167033248,42.3881509622092,116.817473832527,19.7777777777778,0
471,255,0.9198,129607,65.09051,1,7,1,0,0,92.993941497887,39.43296979838,98.0763275529783,192.477238854105,24.2222222222222,1
74,32,0.8396,22118,73.78451,0,8,1,0,0,106.86703078862,25.4911318528215,81.4341539776688,178.602242005425,21.4444444444444,1
129,52,0.8727,82273,69.07246,2,7,0,0,0,82.6377151523554,75.9169313211499,140.011219193889,229.892898694252,22.5555555555556,0
51,29,0.7301,21124,80.50488,0,8,1,0,0,188.363075514117,108.851122348347,26.605158610422,94.4891634581838,21.4444444444444,1
158,79,0.8546,57289,76.79689,1,7,1,0,0,50.9990844022038,95.7958802041588,180.008797450956,273.899880545034,24.2222222222222,1
215,161,0.7801,48582,55.29379,1,7,0,1,0,78.8839259881681,8.11350672810669,102.734517690379,200.898730922592,25.8888888888889,1
62,33,0.7323,13721,71.06272,2,7,0,0,0,133.373406339565,56.1730196847105,53.1572244850139,147.804631877635,22.5555555555556,0
0,0,0.9994,32307,64.38888,2,7,0,0,0,72.6236088828476,54.0991971919948,127.050699809997,220.760008393542,22.5555555555556,0
0,0,0.8469,26854,69.57114,0,9,0,0,0,137.457251497877,56.0858722736897,61.7157724965722,154.075826517563,17,0
0,0,0.8129,7619,73.73383,0,9,0,0,0,137.877703407992,53.7322870712746,48.0005765832069,144.975506930261,17,0
0,0,0.9408,12899,69.44211,2,7,0,0,0,153.659025008836,70.093635338958,28.3423158894121,126.52756156195,22.5555555555556,0
0,0,0.6941,128615,66.09113,1,8,0,0,0,173.758968980635,90.2330247170114,36.3885517871063,117.379683858615,19.7777777777778,0
0,0,0.9023,36864,64.92413,1,8,0,0,0,175.170455814789,91.0099638293463,22.6000004970361,109.683165705231,19.7777777777778,0
0,0,0.8043,14109,66.54927,1,8,0,0,0,182.396552036093,98.7823062374229,5.02936898881579,98.023104202703,19.7777777777778,0
2363,2144,0.6076,186240,63.63823,0,7,0,2,11.56,17.127080070097,12.0958997283412,94.085562203864,196.468400949521,29.2222222222222,2
372,281,0.8401,14543,82.40316,0,7,0,2,0,29.0401152861511,16.2540080026854,74.9534815560455,176.550891899818,29.2222222222222,2
78,52,0.8083,11676,76.24244,0,7,2,0,7.26,36.5037184135924,36.1755737426168,98.9523126851143,194.319595757498,25.8888888888889,2
234,62,0.9901,45927,70.57386,0,7,2,0,0,57.716819890786,46.7309704446064,55.6494746726866,151.821170069886,25.8888888888889,2
268,353,0.592,16146,72.44031,0,7,0,2,7.92,14.4860680464143,17.241770140227,100.154995514795,200.14698993944,29.2222222222222,2
26,9,0.9347,19443,73.52005,1,7,1,0,0,54.6598539707046,45.5214260373541,77.5389659839236,176.963972920144,24.2222222222222,1
666,364,0.9583,48112,71.49058,0,7,2,0,0,50.0438444989611,37.0497511248632,56.1225886368306,158.51848031897,25.8888888888889,2
38,9,0.4943,291657,54.09181,3,6,0,0,0,69.1962760484666,60.2587439465682,63.6829955069196,151.224945298124,25.3333333333333,0
64,27,0.8334,8427,75.66942,0,7,1,1,0,35.2198755724719,26.9782517036461,78.2047516050002,176.346139560865,27.5555555555556,2
5,2,0.8984,21545,81.55334,2,7,0,0,8.543,98.7589321862881,93.8705607910657,98.8696252326424,166.800865520302,22.5555555555556,0
56,42,0.4032,32413,79.48826,1,6,2,0,9.381,58.0652844790036,51.9699558927916,80.2864586152149,169.825052294236,28.6666666666667,2
144,47,0.8939,24793,76.49057,0,7,2,0,0,37.6989198729656,28.2596659649315,80.3805026929494,182.267024412586,25.8888888888889,2
14,10,0.7424,3086,64.53202,1,7,0,1,0,96.6140893612173,83.7791426992157,10.8331418478563,108.964589313546,25.8888888888889,1
6,6,0.9774,6353,70.03447,1,7,1,0,0,102.45801396782,89.3726562760291,6.61810305196609,105.320939877246,24.2222222222222,1
8,3,0.9309,2884,66.13881,1,7,1,0,0,101.391784540492,88.4426039386307,25.7393411089723,114.791768992034,24.2222222222222,1
16,13,0.9857,22617,56.44954,1,8,0,0,0,146.065400378156,133.383528745163,45.2508303029921,60.1075232036686,19.7777777777778,0
77,21,0.9455,26573,58.5732,2,6,1,0,0,71.1840498095739,58.9084779913234,37.5971282673627,135.305428556229,27,1
37,17,0.9513,89200,44.41148,0,8,0,1,0,113.559820668081,100.783920096168,14.6781997456554,92.0516405147081,23.1111111111111,1
34,16,0.9201,10286,63.97855,3,6,0,0,0,85.2965788603609,72.2084272448016,23.2927353816881,124.182507978058,25.3333333333333,0
15,7,0.9258,24774,54.30858,2,6,1,0,0,84.0766814785894,72.7200477977367,39.9982750200805,127.23503411827,27,1
6,6,0.8013,47336,61.20137,1,8,0,0,0,198.726390510007,186.294976626379,99.1440707125678,24.6345568359329,19.7777777777778,0
28,13,0.3519,29751,74.10835,0,8,0,1,0,127.906817666049,115.006940440463,24.8962366351536,77.7929364160484,23.1111111111111,1
36,16,0.7799,5684,64.04908,3,6,0,0,0,80.5117178036137,67.4986124894481,23.4208521504526,125.566824224319,25.3333333333333,0
38,14,0.9879,22135,64.91771,1,7,0,1,0,99.9521660325643,87.6541400255903,22.7823294241727,107.385332208149,25.8888888888889,1
19,4,0.9739,6812,57.45589,0,8,1,0,0,112.738129028268,99.6664859099584,20.4589436737297,100.647624570317,21.4444444444444,1
85,44,0.8344,8270,68.71449,2,6,1,0,0,65.2329105113473,52.2394277996608,38.7027331758947,140.638387106953,27,1
11,3,0.9764,29796,56.57977,0,8,1,0,0,139.8086834894,126.762707820341,35.9644171093242,68.1786505117092,21.4444444444444,1
11,3,0.957,8587,50.91812,0,8,0,1,0,120.086982459725,107.014084750795,16.9627204135648,87.9485071036931,23.1111111111111,1
5,5,0.9108,44334,62.80157,2,7,0,0,0,97.005871331477,86.4372328107835,48.5336079314738,122.070535468118,22.5555555555556,0
7,3,0.8809,40542,56.42241,1,8,0,0,0,134.449071920424,122.750179137631,49.9745167473484,82.4126498920156,19.7777777777778,0
18,1,0.9809,7908,66.86275,1,8,0,0,0,141.491409428159,129.201763278622,46.6964397025869,68.6218498613007,19.7777777777778,0
28,16,0.7357,20302,67.77552,0,8,1,0,0,126.315805833675,113.977162357702,33.4082089610936,82.0431474652003,21.4444444444444,1
0,0,0.6229,18985,78.08496,2,7,0,0,0,195.750204561663,186.577720417401,130.564346988952,114.653964540264,22.5555555555556,0
0,0,0.9812,45455,59.19499,1,8,0,0,0,114.589217279318,103.160586439222,41.9585965277016,101.137182713921,19.7777777777778,0
0,0,0.9484,13709,64.32009,1,8,0,0,0,156.496268191957,143.622623496819,53.3290796924129,49.150328685228,19.7777777777778,0
0,0,0.5669,155523,63.59278,0,9,0,0,0,175.328455399082,162.389904195701,71.6386416928472,31.2645199067001,17,0
0,0,0.8459,11080,59.51487,0,9,0,0,0,169.885457997955,157.201738302637,68.3514172363368,36.8871546510806,17,0
0,0,0.8169,8827,71.01556,0,9,0,0,0,159.447218389218,147.046630294549,61.5518080567965,51.1050968200176,17,0
0,0,0.8726,16822,63.37247,0,9,0,0,0,158.192705358138,146.329560462773,67.3335634384222,62.5460763367089,17,0
0,0,0.9223,20793,67.58152,1,8,0,0,0,177.37473921338,165.013111765111,79.1125172483274,37.7776858820421,19.7777777777778,0
0,0,0.7395,12821,74.55254,0,9,0,0,0,184.088444353964,171.3722985931,82.0327944530079,22.9144335761549,17,0
0,0,0.9439,15424,63.6647,1,8,0,0,0,242.197439953268,229.668139034042,141.189427861794,42.3234876982637,19.7777777777778,0
1171,778,0.3552,233140,78.99738,1,6,1,1,0,25.7341828988743,15.0822916624341,35.0408786593748,74.2853281195819,30.3333333333333,2
197,98,0.8924,36665,65.86841,0,6,3,0,0,56.9382356987149,43.9313346164459,2.5314363958762,37.049788470149,30.3333333333333,3
2268,1124,0.8116,414250,65.97787,2,7,0,0,0,39.2915725581859,35.7772478679471,55.1668600217528,91.5679122303521,22.5555555555556,0
25,44,0.7339,174461,67.39341,3,6,0,0,0,107.990595116352,103.639635228809,95.8627986785921,97.6720021179663,25.3333333333333,0
1140,681,0.7642,322424,64.145,1,6,0,2,0,28.2311524193203,15.9278103735535,27.2425871022384,65.5507032395501,32,2
45,33,0.5449,211809,66.77727,2,5,2,0,0,62.0466210057237,53.4323667866427,39.8568208878556,54.9150002948572,31.4444444444444,2
207,150,0.5038,189133,77.14747,0,6,3,0,0,42.5833135733205,32.2505611429842,25.7210744276865,56.5634926752268,30.3333333333333,3
22,18,0.7253,75855,74.68625,4,5,0,0,0,81.9457861834979,74.543371148991,59.8333485074894,63.6500569059141,28.1111111111111,0
